Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
128,Daniele De Rossi\Daniele-De-Rossi,it ITA,MF,Boca Juniors,36,1983,5,4,344,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Jan Carlos Hurtado\Jan-Carlos-Hurtado,ve VEN,FW,Boca Juniors,19,2000,14,6,640,1,1,0,0,4,0,0.14,0.14,0.28,0.14,0.28,Matches
130,Nicolás Capaldo\Nicolas-Capaldo,ar ARG,MF,Boca Juniors,21,1997,13,9,875,0,1,0,0,5,1,0.00,0.10,0.10,0.00,0.10,Matches
131,Jorman Campuzano\Jorman-Campuzano,co COL,MF,Boca Juniors,23,1996,13,11,943,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
132,Julio Buffarini\Julio-Buffarini,ar ARG,DF,Boca Juniors,30,1988,20,20,1771,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
133,Gastón Ávila\Gaston-Avila,ar ARG,DF,Boca Juniors,17,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Esteban Andrada\Esteban-Andrada,ar ARG,GK,Boca Juniors,28,1991,20,20,1800,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
135,Júnior Alonso\Junior-Alonso,py PAR,DF,Boca Juniors,26,1993,14,11,1152,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
136,Agustín Almendra\Agustin-Almendra,ar ARG,MF,Boca Juniors,19,2000,6,6,435,1,0,0,0,2,1,0.21,0.00,0.21,0.21,0.21,Matches
137,Ramón Ábila\Ramon-Abila,ar ARG,FW,Boca Juniors,29,1989,12,5,466,5,1,1,1,3,0,0.97,0.19,1.16,0.77,0.97,Matches
138,Juan Vieyra\Juan-Vieyra,ar ARG,MF,CA Huracán,27,1992,8,1,239,1,1,0,0,1,0,0.38,0.38,0.75,0.38,0.75,Matches
139,Antony Silva\Antony-Silva,py PAR,GK,CA Huracán,35,1984,20,20,1800,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Saúl Salcedo\Saul-Salcedo,py PAR,DF,CA Huracán,21,1997,19,19,1710,0,1,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
141,Nicolás Romat\Nicolas-Romat,ar ARG,DFMF,CA Huracán,31,1988,7,7,562,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Samson Robinson\Samson-Robinson,ar ARG,DF,CA Huracán,17,2002,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Sebastián Ramírez\Sebastian-Ramirez,ar ARG,MFFW,CA Huracán,18,2000,6,4,358,1,1,0,0,3,0,0.25,0.25,0.50,0.25,0.50,Matches
144,Walter Pérez\Walter-Perez,ar ARG,DFMF,CA Huracán,20,1998,9,8,664,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
145,Martín Ojeda\Martin-Ojeda,ar ARG,MF,CA Huracán,20,1998,9,7,623,1,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29,Matches
146,Lucas Merolla\Lucas-Merolla,ar ARG,DF,CA Huracán,24,1995,13,13,1152,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
147,Javier Mendoza\Javier-Mendoza,ar ARG,MF,CA Huracán,26,1992,3,1,153,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Federico Marín\Federico-Marin,ar ARG,MF,CA Huracán,21,1998,1,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Braian Maidana\Braian-Maidana,ar ARG,DF,CA Huracán,20,1999,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
150,César Ibáñez\Cesar-Ibanez,ar ARG,DF,CA Huracán,20,1999,15,15,1286,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Santiago Hezze\Santiago-Hezze,ar ARG,MF,CA Huracán,17,2001,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Rodrigo Gómez\Rodrigo-Gomez,ar ARG,MF,CA Huracán,26,1993,20,18,1705,4,2,2,2,6,0,0.21,0.11,0.32,0.11,0.21,Matches
153,Juan Fernando Garro\Juan-Fernando-Garro,ar ARG,MFFW,CA Huracán,26,1992,11,9,689,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Lorenzo Faravelli\Lorenzo-Faravelli,ar ARG,MF,CA Huracán,26,1993,8,7,480,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Fernando Diego Pellegrino\Fernando-Diego-Pellegrino,ar ARG,GK,CA Huracán,33,1986,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Agustín Curruhinca\Agustin-Curruhinca,ar ARG,MF,CA Huracán,19,2000,6,1,248,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
